Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
sexualorientation,brief_screen,,checkbox,"<div class=""rich-text-field-label""><p>Which of the following commonly used terms best describes your sexual orientation?  (check all that apply)</p></div>","1, Straight or heterosexual | 2, Gay | 3, Lesbian | 4, Bisexual | 5, Queer | 6, Pansexual | 7, Asexual | 8, Unsure/questioning/exploring | 9, Not listed {sexualorientation_oth} | -999, Decline to answer",,,,,,,y,,,,,
sexualorientation_oth,brief_screen,,text,"Other sexual orientation, specified",,,,,,,[sexualorientation(9)],y,,,,, @PLACEHOLDER = 'please fill in'
msm,brief_screen,,radio,"<div class=""rich-text-field-label""><p>Have you had anal sex with a cisgender man in the past year?</p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,[sexualorientation(1)] OR [sexualorientation(7)] OR [sexualorientation(8)] OR [sexualorientation(9)] OR [sexualorientation(-999)],y,,,,,
lang_screen,brief_screen,,checkbox,"<div class=""rich-text-field-label""><p>What languages are you comfortable reading/writing/speaking in? (check all that apply)</p></div>","1, English | 2, Spanish | 3, Other | -999, Decline to answer",,,,,,,y,,,,,
languages,brief_screen,,radio,"<div class=""rich-text-field-label""><p>Do you want to receive communication about this study in English or Spanish?</p></div>","1, English | 2, Spanish | 3, Either one",,,,,,,y,,,,,
otherstudies,brief_screen,,radio,"<div class=""rich-text-field-label""><p>May we contact you for other studies you might be eligible for?</p></div>","0, No | 1, Yes",,,,,,,y,,,,,
brief_complete_time,brief_screen,,text,"brief screen completion time, in seconds",,,,,,,,,,,,, @CALCTEXT([survey-duration-completed:brief_screen:s]) @HIDDEN
brief_eligibility_all,brief_screen,,calc,Brief screen eligibility calculation,"if((([age] >= 18 AND [age] <= 39) AND
[raceeth(1)] AND
([ziplive]=33012 OR [ziplive]=33015 OR [ziplive]=33186 OR [ziplive]=33157 OR [ziplive]=33033 OR [ziplive]=33027 OR [ziplive]=33178 OR
    [ziplive]=33142 OR [ziplive]=33177 OR [ziplive]=33032 OR
    [ziplive]=33161 OR [ziplive]=33165 OR [ziplive]=33196 OR
    [ziplive]=33125 OR [ziplive]=33176 OR [ziplive]=33018 OR
    [ziplive]=33175 OR [ziplive]=33193 OR [ziplive]=33126 OR
    [ziplive]=33016 OR [ziplive]=33179 OR [ziplive]=33162 OR
    [ziplive]=33147 OR [ziplive]=33155 OR [ziplive]=33169 OR
    [ziplive]=33010 OR [ziplive]=33160 OR [ziplive]=33172 OR
    [ziplive]=33014 OR [ziplive]=33134 OR [ziplive]=33055 OR
    [ziplive]=33030 OR [ziplive]=33056 OR [ziplive]=33139 OR
    [ziplive]=33183 OR [ziplive]=33135 OR [ziplive]=33141 OR
    [ziplive]=33180 OR [ziplive]=33121 OR [ziplive]=33174 OR
    [ziplive]=33013 OR [ziplive]=33130 OR [ziplive]=33150 OR
    [ziplive]=33133 OR [ziplive]=33143 OR [ziplive]=33156 OR
    [ziplive]=33173 OR [ziplive]=33127 OR [ziplive]=33145 OR
    [ziplive]=33054 OR [ziplive]=33144 OR [ziplive]=33138 OR
    [ziplive]=33185 OR [ziplive]=33166 OR [ziplive]=33167 OR
    [ziplive]=33189 OR [ziplive]=33168 OR [ziplive]=33140 OR
    [ziplive]=33184 OR [ziplive]=33131 OR [ziplive]=33137 OR
    [ziplive]=33181 OR [ziplive]=33034 OR [ziplive]=33187 OR
    [ziplive]=33136 OR [ziplive]=33154 OR [ziplive]=33146 OR
    [ziplive]=33149 OR [ziplive]=33035 OR [ziplive]=33129 OR
    [ziplive]=33182 OR [ziplive]=33170 OR [ziplive]=33190 OR
    [ziplive]=33132 OR [ziplive]=33037 OR [ziplive]=33128 OR
    [ziplive]=33110 OR [ziplive]=33031 OR [ziplive]=33194 OR
    [ziplive]=33158 OR [ziplive]=34141 OR [ziplive]=33122 OR
    [ziplive]=33148 OR [ziplive]=33199 OR [ziplive]=33039 OR
    [ziplive]=33109 OR [ziplive]=33191 OR [ziplive]=33107 OR
    [ziplive]=33159 OR [ziplive]=33256 OR [ziplive]=33002 OR
    [ziplive]=33011 OR [ziplive]=33017 OR [ziplive]=33152 OR
    [ziplive]=33151 OR [ziplive]=33153 OR [ziplive]=33164 OR
    [ziplive]=33163 OR [ziplive]=33188 OR [ziplive]=33192 OR
    [ziplive]=33197 OR [ziplive]=33233 OR [ziplive]=33231 OR
    [ziplive]=33238 OR [ziplive]=33234 OR [ziplive]=33242 OR
    [ziplive]=33239 OR [ziplive]=33245 OR [ziplive]=33243 OR
    [ziplive]=33255 OR [ziplive]=33247 OR [ziplive]=33257 OR
    [ziplive]=33265 OR [ziplive]=33261 OR [ziplive]=33269 OR
    [ziplive]=33266 OR [ziplive]=33283 OR [ziplive]=33280 OR
    [ziplive]=33299 OR [ziplive]=33296 OR [ziplive]=33090 OR
    [ziplive]=33092 OR [ziplive]=33101 OR [ziplive]=33102 OR
    [ziplive]=33112 OR [ziplive]=33111 OR [ziplive]=33116 OR
    [ziplive]=33114 OR [ziplive]=33119 OR [ziplive]=33124 OR
    [ziplive]=33106 OR [ziplive]=33222 OR [ziplive]=33195 OR
    [ziplive]=33206 OR [ziplive]=33198 OR [ziplive]=33024 OR
    [ziplive]=33025 OR [ziplive]=33311 OR [ziplive]=33023 OR
    [ziplive]=33313 OR [ziplive]=33027 OR [ziplive]=33065 OR
    [ziplive]=33064 OR [ziplive]=33063 OR [ziplive]=33312 OR
    [ziplive]=33319 OR [ziplive]=33068 OR [ziplive]=33021 OR
    [ziplive]=33321 OR [ziplive]=33324 OR [ziplive]=33020 OR
    [ziplive]=33076 OR [ziplive]=33029 OR [ziplive]=33009 OR
    [ziplive]=33071 OR [ziplive]=33322 OR [ziplive]=33309 OR
    [ziplive]=33317 OR [ziplive]=33442 OR [ziplive]=33351 OR
    [ziplive]=33073 OR [ziplive]=33060 OR [ziplive]=33069 OR
    [ziplive]=33326 OR [ziplive]=33026 OR [ziplive]=33325 OR
    [ziplive]=33328 OR [ziplive]=33334 OR [ziplive]=33067 OR
    [ziplive]=33308 OR [ziplive]=33441 OR [ziplive]=33314 OR
    [ziplive]=33331 OR [ziplive]=33028 OR [ziplive]=33062 OR
    [ziplive]=33327 OR [ziplive]=33323 OR [ziplive]=33304 OR
    [ziplive]=33066 OR [ziplive]=33301 OR [ziplive]=33004 OR
    [ziplive]=33330 OR [ziplive]=33332 OR [ziplive]=33315 OR
    [ziplive]=33019 OR [ziplive]=33316 OR [ziplive]=33305 OR
    [ziplive]=34141 OR [ziplive]=33306 OR [ziplive]=33394 OR
    [ziplive]=33022 OR [ziplive]=33008 OR [ziplive]=33302 OR
    [ziplive]=33061 OR [ziplive]=33072 OR [ziplive]=33074 OR
    [ziplive]=33075 OR [ziplive]=33081 OR [ziplive]=33077 OR
    [ziplive]=33083 OR [ziplive]=33082 OR [ziplive]=33084 OR
    [ziplive]=33093 OR [ziplive]=33097 OR [ziplive]=33443 OR
    [ziplive]=33303 OR [ziplive]=33307 OR [ziplive]=33310 OR
    [ziplive]=33318 OR [ziplive]=33320 OR [ziplive]=33329 OR
    [ziplive]=33335 OR [ziplive]=33337 OR [ziplive]=33336 OR
    [ziplive]=33339 OR [ziplive]=33338 OR [ziplive]=33345 OR
    [ziplive]=33340 OR [ziplive]=33348 OR [ziplive]=33346 OR
    [ziplive]=33349 OR [ziplive]=33359 OR [ziplive]=33355 OR
    [ziplive]=33388) AND
[gender(4)] AND
([lang_screen(1)] OR [lang_screen(2)]) AND
(([sexualorientation(2)] OR [sexualorientation(4)] OR [sexualorientation(5)] OR [sexualorientation(6)]) OR ([msm] = 1))), 1,0)",,,,,,,,,,,, @HIDDEN
brief_all_text,brief_screen,,text,brief screening eligibility - overall eligibility text,,,,,,,,,,,,," @CALCTEXT(if([brief_eligibility_all] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
brief_eligibility_age,brief_screen,,calc,brief screen age eligibility,"if(([age] >= 18 AND [age] <= 39), 1,0)",,,,,,,,,,,, @HIDDEN
brief_age_text,brief_screen,,text,brief_age_text,,,,,,,,,,,,," @CALCTEXT(if([brief_eligibility_age]='1'), 'Eligible', 'Not eligible')
@HIDDEN"
brief_eligibility_lang,brief_screen,,calc,brief screen language eligibility,"if(([lang_screen(1)] OR [lang_screen(2)]), 1,0)",,,,,,,,,,,, @HIDDEN
brief_lang_text,brief_screen,,text,brief_lang_text,,,,,,,,,,,,," @CALCTEXT(if([brief_eligibility_lang]='1'), 'Eligible', 'Not eligible')
@HIDDEN"
brief_eligibility_eth,brief_screen,,calc,brief screen race/ethnicity eligibility,"if([raceeth(1)], 1,0)",,,,,,,,,,,, @HIDDEN
brief_eth_text,brief_screen,,text,brief_eth_text,,,,,,,,,,,,," @CALCTEXT(if([brief_eligibility_eth]='1'), 'Eligible', 'Not eligible')
@HIDDEN"
brief_eligibility_zip,brief_screen,,calc,brief screen zip code eligibility,"if(([ziplive]=33012 OR [ziplive]=33015 OR [ziplive]=33186 OR [ziplive]=33157 OR [ziplive]=33033 OR [ziplive]=33027 OR [ziplive]=33178 OR
    [ziplive]=33142 OR [ziplive]=33177 OR [ziplive]=33032 OR
    [ziplive]=33161 OR [ziplive]=33165 OR [ziplive]=33196 OR
    [ziplive]=33125 OR [ziplive]=33176 OR [ziplive]=33018 OR
    [ziplive]=33175 OR [ziplive]=33193 OR [ziplive]=33126 OR
    [ziplive]=33016 OR [ziplive]=33179 OR [ziplive]=33162 OR
    [ziplive]=33147 OR [ziplive]=33155 OR [ziplive]=33169 OR
    [ziplive]=33010 OR [ziplive]=33160 OR [ziplive]=33172 OR
    [ziplive]=33014 OR [ziplive]=33134 OR [ziplive]=33055 OR
    [ziplive]=33030 OR [ziplive]=33056 OR [ziplive]=33139 OR
    [ziplive]=33183 OR [ziplive]=33135 OR [ziplive]=33141 OR
    [ziplive]=33180 OR [ziplive]=33121 OR [ziplive]=33174 OR
    [ziplive]=33013 OR [ziplive]=33130 OR [ziplive]=33150 OR
    [ziplive]=33133 OR [ziplive]=33143 OR [ziplive]=33156 OR
    [ziplive]=33173 OR [ziplive]=33127 OR [ziplive]=33145 OR
    [ziplive]=33054 OR [ziplive]=33144 OR [ziplive]=33138 OR
    [ziplive]=33185 OR [ziplive]=33166 OR [ziplive]=33167 OR
    [ziplive]=33189 OR [ziplive]=33168 OR [ziplive]=33140 OR
    [ziplive]=33184 OR [ziplive]=33131 OR [ziplive]=33137 OR
    [ziplive]=33181 OR [ziplive]=33034 OR [ziplive]=33187 OR
    [ziplive]=33136 OR [ziplive]=33154 OR [ziplive]=33146 OR
    [ziplive]=33149 OR [ziplive]=33035 OR [ziplive]=33129 OR
    [ziplive]=33182 OR [ziplive]=33170 OR [ziplive]=33190 OR
    [ziplive]=33132 OR [ziplive]=33037 OR [ziplive]=33128 OR
    [ziplive]=33110 OR [ziplive]=33031 OR [ziplive]=33194 OR
    [ziplive]=33158 OR [ziplive]=34141 OR [ziplive]=33122 OR
    [ziplive]=33148 OR [ziplive]=33199 OR [ziplive]=33039 OR
    [ziplive]=33109 OR [ziplive]=33191 OR [ziplive]=33107 OR
    [ziplive]=33159 OR [ziplive]=33256 OR [ziplive]=33002 OR
    [ziplive]=33011 OR [ziplive]=33017 OR [ziplive]=33152 OR
    [ziplive]=33151 OR [ziplive]=33153 OR [ziplive]=33164 OR
    [ziplive]=33163 OR [ziplive]=33188 OR [ziplive]=33192 OR
    [ziplive]=33197 OR [ziplive]=33233 OR [ziplive]=33231 OR
    [ziplive]=33238 OR [ziplive]=33234 OR [ziplive]=33242 OR
    [ziplive]=33239 OR [ziplive]=33245 OR [ziplive]=33243 OR
    [ziplive]=33255 OR [ziplive]=33247 OR [ziplive]=33257 OR
    [ziplive]=33265 OR [ziplive]=33261 OR [ziplive]=33269 OR
    [ziplive]=33266 OR [ziplive]=33283 OR [ziplive]=33280 OR
    [ziplive]=33299 OR [ziplive]=33296 OR [ziplive]=33090 OR
    [ziplive]=33092 OR [ziplive]=33101 OR [ziplive]=33102 OR
    [ziplive]=33112 OR [ziplive]=33111 OR [ziplive]=33116 OR
    [ziplive]=33114 OR [ziplive]=33119 OR [ziplive]=33124 OR
    [ziplive]=33106 OR [ziplive]=33222 OR [ziplive]=33195 OR
    [ziplive]=33206 OR [ziplive]=33198 OR [ziplive]=33024 OR
    [ziplive]=33025 OR [ziplive]=33311 OR [ziplive]=33023 OR
    [ziplive]=33313 OR [ziplive]=33027 OR [ziplive]=33065 OR
    [ziplive]=33064 OR [ziplive]=33063 OR [ziplive]=33312 OR
    [ziplive]=33319 OR [ziplive]=33068 OR [ziplive]=33021 OR
    [ziplive]=33321 OR [ziplive]=33324 OR [ziplive]=33020 OR
    [ziplive]=33076 OR [ziplive]=33029 OR [ziplive]=33009 OR
    [ziplive]=33071 OR [ziplive]=33322 OR [ziplive]=33309 OR
    [ziplive]=33317 OR [ziplive]=33442 OR [ziplive]=33351 OR
    [ziplive]=33073 OR [ziplive]=33060 OR [ziplive]=33069 OR
    [ziplive]=33326 OR [ziplive]=33026 OR [ziplive]=33325 OR
    [ziplive]=33328 OR [ziplive]=33334 OR [ziplive]=33067 OR
    [ziplive]=33308 OR [ziplive]=33441 OR [ziplive]=33314 OR
    [ziplive]=33331 OR [ziplive]=33028 OR [ziplive]=33062 OR
    [ziplive]=33327 OR [ziplive]=33323 OR [ziplive]=33304 OR
    [ziplive]=33066 OR [ziplive]=33301 OR [ziplive]=33004 OR
    [ziplive]=33330 OR [ziplive]=33332 OR [ziplive]=33315 OR
    [ziplive]=33019 OR [ziplive]=33316 OR [ziplive]=33305 OR
    [ziplive]=34141 OR [ziplive]=33306 OR [ziplive]=33394 OR
    [ziplive]=33022 OR [ziplive]=33008 OR [ziplive]=33302 OR
    [ziplive]=33061 OR [ziplive]=33072 OR [ziplive]=33074 OR
    [ziplive]=33075 OR [ziplive]=33081 OR [ziplive]=33077 OR
    [ziplive]=33083 OR [ziplive]=33082 OR [ziplive]=33084 OR
    [ziplive]=33093 OR [ziplive]=33097 OR [ziplive]=33443 OR
    [ziplive]=33303 OR [ziplive]=33307 OR [ziplive]=33310 OR
    [ziplive]=33318 OR [ziplive]=33320 OR [ziplive]=33329 OR
    [ziplive]=33335 OR [ziplive]=33337 OR [ziplive]=33336 OR
    [ziplive]=33339 OR [ziplive]=33338 OR [ziplive]=33345 OR
    [ziplive]=33340 OR [ziplive]=33348 OR [ziplive]=33346 OR
    [ziplive]=33349 OR [ziplive]=33359 OR [ziplive]=33355 OR
    [ziplive]=33388), 1,0)",,,,,,,,,,,,
brief_zip_text,brief_screen,,text,brief zip text,,,,,,,,,,,,," @CALCTEXT(if([brief_eligibility_zip]='1'), 'Eligible', 'Not eligible')
@HIDDEN"
brief_eligibility_gender,brief_screen,,calc,brief screen gender eligibility,"if([gender(4)], 1,0)",,,,,,,,,,,, @HIDDEN
brief_gender_text,brief_screen,,text,brief gender text,,,,,,,,,,,,," @CALCTEXT(if([brief_eligibility_gender]='1'), 'Eligible', 'Not eligible')
@HIDDEN"
brief_eligibility_orimsm,brief_screen,,calc,brief screen sexual orientation/msm eligibility,"if(([sexualorientation(2)] OR [sexualorientation(4)] OR [sexualorientation(5)] OR [sexualorientation(6)]) OR ([msm] = 1), 1,0)",,,,,,,,,,,, @HIDDEN
brief_msm_text,brief_screen,,text,brief sexual orientation msm text,,,,,,,,,,,,," @CALCTEXT(if([brief_eligibility_orimsm]='1'), 'Eligible', 'Not eligible')
@HIDDEN"
contactintro,contact_information,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: center;"">We are asking for your contact information so that we can contact you to sign you up for the study if you are eligible and interested. As a reminder, your information is completely confidential.</h5></div>",,,,,,,,,,,,,
name_table,contact_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 74.8232%; height: 52px;"" border=""1""> <tbody> <tr style=""height: 52px;""> <td style=""width: 21.5909%; height: 52px; border-style: hidden;"">Full name:</td> <td style=""width: 35.0354%; height: 52px; border-style: hidden;"">{firstname}</td> <td style=""width: 43.3737%; height: 52px; border-style: hidden;"">{lastname}</td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 58.5573%; height: 12px;"" border=""1""> <tbody> <tr style=""height: 12px;""> <td style=""width: 34.2995%; height: 12px; border-style: hidden;"">Cell phone number:</td> <td style=""width: 65.7005%; height: 12px; border-style: hidden;"">{cell_number}</td> </tr> </tbody> </table> <table style=""font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol'; width: 57.8501%; height: 72.3906px;"" border=""1""> <tbody> <tr style=""height: 72.3906px;""> <td style=""width: 37.1638%; height: 72.3906px; text-align: left; border-style: hidden;""> <p>Is it ok to text?</p> <p>{text}</p> </td> <td style=""width: 62.8362%; height: 72.3906px; border-style: hidden;""> <p>Is it ok to leave a voicemail?</p> <p>{voicemail}</p> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 64.1618%; height: 24px;"" border=""1""> <tbody> <tr style=""height: 24px;""> <td style=""width: 43.6944%; height: 24px; border-style: hidden;"">Alternative phone number:</td> <td style=""width: 56.3073%; height: 24px; border-style: hidden;"">{phone_alt}</td> </tr> <tr> <td style=""width: 43.6944%; height: 72.3906px; text-align: left; border-style: hidden;""> <p>Is it ok to text?</p> <p>{text_alt}</p> </td> <td style=""width: 56.3073%; height: 72.3906px; border-style: hidden;""> <p>Is it ok to leave a voicemail?</p> <p>{voicemail_alt}</p> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 55.9249%; height: 53px;"" border=""1""> <tbody> <tr style=""height: 29px;""> <td style=""width: 36.8056%; border-style: hidden; height: 29px;"">Primary email:</td> <td style=""width: 63.1944%; border-style: hidden; height: 29px;"">{email}</td> </tr> <tr style=""height: 24px;""> <td style=""width: 36.8056%; border-style: hidden; height: 24px;"">Alternative email:</td> <td style=""width: 63.1944%; border-style: hidden; height: 24px;"">{email_alt}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
firstname,contact_information,,text,"<div class=""rich-text-field-label""><p>First name</p></div>",,,,,,y,,y,,,,, @PLACEHOLDER = 'First name'
lastname,contact_information,,text,"<div class=""rich-text-field-label""><p>Last name</p></div>",,,,,,y,,y,,,,, @PLACEHOLDER = 'Last name'
cell_number,contact_information,,text,"<div class=""rich-text-field-label""><p>Cell phone number</p></div>",,,phone,,,y,,y,RH,,,,
text,contact_information,,radio,"Permission to text, primary phone","0, No | 1, Yes",,,,,,,y,RH,,,,
voicemail,contact_information,,radio,"Permission to voicemail, primary phone","0, No | 1, Yes",,,,,,,y,RH,,,,
phone_alt,contact_information,,text,"<div class=""rich-text-field-label""><p>Alternative phone number</p></div>",,,phone,,,y,,,RH,,,,
text_alt,contact_information,,radio,"Permission to text, alternative phone","0, No | 1, Yes",,,,,,,,RH,,,,
voicemail_alt,contact_information,,radio,"Permission to voicemail, alternative phone","0, No | 1, Yes",,,,,,,,RH,,,,
email,contact_information,,text,Primary email,,,email,,,y,,y,RH,,,,
email_alt,contact_information,,text,alternative email,,,email,,,y,,,RH,,,,
best_cont_meth,contact_information,,checkbox,"<div class=""rich-text-field-label""><p>What is the best way to reach you? (check all that apply)</p></div>","bestcont_ph, Phone call | bestcont_txt, Text message | bestcont_eml, Email",,,,,,,y,,,,,
best_cont_time,contact_information,,checkbox,"<div class=""rich-text-field-label""><p>What are the best days/times to reach you? (check all that apply)</p></div>","bestcont_wkdy, Weekdays | bestcont_wknd, Weekends | bestcont_AM, Mornings (before noon) | bestcont_PM, Afternoons (12-5) | bestcont_eve, Evenings (after 5pm)",,,,,,,y,,,,,
brief_eligible_header,brief_screen_summary,,descriptive,"<div class=""rich-text-field-label""><div class=""green"" style=""text-align: center;""> <h5 style=""text-align: center;"">Participant is ELIGIBLE for the study so far.</h5> Contact for full screening.</div></div>",,,,,,,[brief_eligibility_all] = '1',,,,,,
brief_eligible_header_2,brief_screen_summary,,descriptive,"<div class=""rich-text-field-label""><div class=""red"" style=""text-align: center;""> <h5 style=""text-align: center;"">Participant is NOT ELIGIBLE for the study at this point.</h5> No further action needed.</div></div>",,,,,,,[brief_eligibility_all] = '0' AND [brief_eligibility_all] <> '',,,,,,
brief_eligibility_table,brief_screen_summary,,descriptive,"<div class=""rich-text-field-label""><h6 style=""text-align: center;""><span style=""color: #b51050;"">For eligibility questions, or REDCap technical questions, contact Audrey.</span></h6> <table style=""border-collapse: collapse; width: 100%; height: 203.172px;"" border=""1""> <tbody> <tr style=""height: 101.586px;""> <td style=""width: 33.2854%; text-align: center; height: 101.586px;""> <p style=""text-align: center;"">Age</p> <p style=""text-align: center;"">[age]</p> <p style=""text-align: center;""><span style=""color: #244aba;"">[brief_age_text]</span></p> </td> <td style=""width: 33.2854%; height: 101.586px;""> <p style=""text-align: center;"">Language</p> <p style=""text-align: center;"">[lang_screen]</p> <p style=""text-align: center;""><span style=""color: #244aba;"">[brief_lang_text]</span></p> </td> <td style=""width: 33.2877%; height: 101.586px;""> <p style=""text-align: center;"">Race/Ethnicity</p> <p style=""text-align: center;"">[raceeth], [raceeth_describe]</p> <p style=""text-align: center;""><span style=""color: #244aba;"">[brief_eth_text]</span></p> </td> </tr> <tr style=""height: 101.586px;""> <td style=""width: 33.2854%; height: 101.586px;""> <p style=""text-align: center;"">ZIP Code</p> <p style=""text-align: center;"">[ziplive]</p> <p style=""text-align: center;""><span style=""color: #244aba;"">[brief_zip_text]</span></p> </td> <td style=""width: 33.2854%; height: 101.586px;""> <p style=""text-align: center;"">Gender</p> <p style=""text-align: center;"">[gender]</p> <p style=""text-align: center;""><span style=""color: #244aba;"">[brief_gender_text]</span></p> </td> <td style=""width: 33.2877%; height: 101.586px;""> <p style=""text-align: center;"">Sexual Orientation / MSM</p> <p style=""text-align: center;"">[sexualorientation]</p> <p style=""text-align: center;"">[msm]</p> <p style=""text-align: center;""><span style=""color: #244aba;"">[brief_msm_text]</span></p> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
brief_last_contact,brief_screen_summary,,text,Date of last contact,,,date_mdy,,,,,,,,,,
brief_contact_table,brief_screen_summary,,descriptive,"<div class=""rich-text-field-label""><h5>Full Screen Contact Attempts</h5> <table style=""border-collapse: collapse; width: 100.867%; height: 323px;"" border=""1""> <tbody> <tr> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 1</span></p> <p>{brief_staff_initials1}</p> <p>{brief_cont_date1}</p> <p>{brief_cont_act1}</p> <p>{brief_cont_notes1}</p> </td> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 2</span></p> <p>{brief_staff_initials2}</p> <p>{brief_cont_date2}</p> <p>{brief_cont_act2}</p> <p>{brief_cont_notes2}</p> </td> <td style=""width: 33.0939%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 3</span></p> <p>{brief_staff_initials3}</p> <p>{brief_cont_date3}</p> <p>{brief_cont_act3}</p> <p>{brief_cont_notes3}</p> </td> </tr> <tr> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 4</span></p> <p>{brief_staff_initials4}</p> <p>{brief_cont_date4}</p> <p>{brief_cont_act4}</p> <p>{brief_cont_notes4}</p> </td> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 5</span></p> <p>{brief_staff_initials5}</p> <p>{brief_cont_date5}</p> <p>{brief_cont_act5}</p> <p>{brief_cont_notes5}</p> </td> <td style=""width: 33.0939%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 6</span></p> <p>{brief_staff_initials6}</p> <p>{brief_cont_date6}</p> <p>{brief_cont_act6}</p> <p>{brief_cont_notes6}</p> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 54.3353%;"" border=""1""> <tbody> <tr> <td style=""width: 100%; border-style: hidden;""> <p><span style=""text-decoration: underline;"">Additional notes:</span></p> <p>{brief_cont_notes7}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
brief_staff_initials1,brief_screen_summary,,text,staff initials 1,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date1,brief_screen_summary,,text,contact 1 date,,,date_mdy,,,,,,,,,,
brief_cont_act1,brief_screen_summary,,checkbox,contact 1 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
